name:Site	Station	StationName	Date_Start	Date_End	Date_Latest
PIN	Pine1F	Pine~Watershed~1~Flume	1958-02-01	1997-09-30	2003-07-08
PIN	Pine2F	Pine~Watershed~2~Flume	1958-04-25	1997-09-30	2003-07-08
PIN	Pine3F	Pine~Watershed~3~Flume	1958-02-28	1997-09-30	2003-07-08
SBC	046161	NEWHALL~5~NW	1997-05-01	2003-01-31	2003-04-09
SBC	046162	NEWHALL~S~FC32CE	1949-01-01	2001-12-31	2003-04-11
SBC	046399	OJAI	1948-07-01	2003-01-31	2003-04-11
SBC	046569	OXNARD	1948-07-01	2002-12-31	2003-04-11
SBC	046572	OXNARD~WSFO	1998-05-01	2003-01-31	2003-04-11
SBC	046940	PIRU~2~ESE	1959-06-01	2003-01-31	2003-04-11
SBC	047735	SANDBERG	1948-01-01	2003-01-31	2003-04-11
SBC	047902	SANTA~BARBARA	1927-12-01	2003-01-31	2003-04-11
SBC	047905	SANTA~BARBARA~MUNICIPAL~AP	1941-01-01	2003-01-31	2003-04-11
SBC	047957	SANTA~PAULA	1948-07-01	2003-01-31	2003-04-11
SBC	048014	SAUGUS~POWER~PLANT~1	1948-07-01	2003-01-31	2003-04-11
SBC	049285	VENTURA	1948-07-01	2003-01-31	2003-04-11
SBC	CP201	Carpinteria~at~Veddars~Ranch	2002-10-01	2009-09-30	2012-03-30
SBC	EL201	El~Capitan~at~State~Beach	2004-10-01	2010-09-30	2012-03-30
SBC	GV202	Gaviota~at~Las~Cruces~School	2002-10-01	2010-09-30	2012-03-30
SBC	HO201	Arroyo~Hondo~at~East~Avocado~Orchard	2002-10-01	2010-09-30	2012-03-30
SBC	HO202	Arroyo~Hondo~at~Upper~Outlaw~Trail	2002-10-01	2010-09-30	2012-03-30
SBC	RG201	Refugio~at~State~Park	2004-10-01	2010-09-30	2012-03-30
SBC	RG202	Refugio~at~Lower~Aguacitos~Ranch	2002-10-01	2010-09-30	2012-03-30
SBC	RG203	Refugio~at~Upper~Aguacitos~Ranch	2002-10-01	2010-09-30	2012-03-30
SBC	RG204	Refugio~at~Rancho~La~Scherpa	2002-10-01	2010-09-30	2012-03-30
SBC	11114000	SANTA~CLARA~RIVER~AT~MONTALVO~CA~(USGS)	1927-10-01	2004-09-30	2007-05-11
SBC	11118500	VENTURA~R~NR~VENTURA~(USGS)	1929-10-01	2013-10-23	2013-10-25
SBC	11118501	VENTURA~R~NR~VENTURA+~DIV.~CA~(USGS)	1932-10-01	2007-09-30	2008-02-29
SBC	11119500	CARPINTERIA~C~NR~CARPINTERIA~CA~(USGS)	1941-01-01	2013-10-23	2013-10-25
SBC	11119745	MISSION~C~A~RNP~A~SANTA~BARBARA~CA~(USGS)	1983-10-28	2013-10-23	2013-10-25
SBC	11119750	MISSION~C~NR~MISSION~ST~NR~SANTA~BARBARA~CA~(USGS)	1970-10-01	2013-10-23	2013-10-25
SBC	11119780	ARROYO~BURRO~A~SANTA~BARBARA~CA~(USGS)	1970-10-01	1993-09-30	2007-05-11
SBC	11119940	MARIA~YGNACIO~C~A~UNIV~DR~NR~GOLETA~CA~(USGS)	1970-10-01	2013-10-23	2013-10-25
SBC	11120000	ATASCADERO~C~NR~GOLETA~CA~(USGS)	1941-10-01	2013-10-23	2013-10-25
SBC	11120500	SAN~JOSE~C~NR~GOLETA~CA~(USGS)	1941-01-01	2013-10-23	2013-10-25
SBC	11120510	SAN~JOSE~C~A~GOLETA~CA~(USGS)	1970-10-01	2000-09-30	2007-05-11
SBC	11120520	SAN~PEDRO~C~A~GOLETA~CA	1970-10-01	2013-10-22	2013-10-25
SBC	11120530	TECOLOTITO~C~NR~GOLETA~CA~(USGS)	1970-10-01	1991-09-30	2007-05-11
SBC	11120550	GAVIOTA~C~NR~GAVIOTA~CA~(USGS)	1966-10-01	1986-09-30	2007-05-11
SBC	AB00	Arroyo~Burro~Creek~at~Cliff~Drive	2001-11-19	2011-09-29	2012-03-23
SBC	BC02	Bell~Canyon~Creek~at~Winchester~Canyon~Rd	2004-10-01	2011-09-29	2012-03-23
SBC	GV01	Gaviota~Creek~at~Hwy~101~South~Rest~Stop	2001-10-17	2010-09-29	2012-03-23
SBC	HO00	Arroyo~Hondo~Creek~at~Hwy~101~Bridge~Upstream~Side	2001-10-17	2011-09-29	2012-03-23
SBC	MC00	Mission~Creek~at~Montecito~St	2001-10-23	2011-09-29	2012-03-23
SBC	RG01	Refugio~Creek~at~Hwy~101	2001-10-17	2011-09-29	2012-03-23
SBC	RS02	Rattlesnake~Creek~at~Las~Canoas~Rd	2001-12-06	2011-09-29	2012-03-23
SER	LIN6891648	Shanping~forest~ecological~garden	2007-04-11	2008-04-26	2008-04-29
SEV	BLUEGRAMA	Blue~Grama~(50)	2002-01-01	2013-11-08	2013-11-08
SEV	BRONCOWELL	Bronco~Well~(45)	1990-01-01	2013-11-08	2013-11-08
SEV	DEEPWELL	Deepwell~(40)	1989-01-01	2013-11-08	2013-11-08
SEV	FIELDSTN	Field~Station~(01)	1992-01-01	2013-11-08	2013-11-08
SEV	FIVEPOINTS	Five~Points~(49)	1999-01-01	2013-11-08	2013-11-08
SEV	MONTOSO	Montoso~(42)	1989-01-01	2013-11-08	2013-11-08
SEV	REDTANK	Red~Tank~(43)	1989-01-01	2013-11-08	2013-11-08
SEV	RIOSALADO	Rio~Salado~(44)	1989-01-01	2013-11-08	2013-11-08
SEV	SAVANNA	Savanna~(48)	1998-01-01	2013-11-08	2013-11-08
SEV	SOUTHGATE	Southgate~(41)	1989-01-01	2013-11-08	2013-11-08
SEV	Gila_R	Gila~River~(USGS~9430500)	1927-12-01	2013-10-23	2013-10-25
SEV	Jemez_R	Jemez~River~(USGS~8324000)	1936-10-01	2013-10-23	2013-10-25
SEV	Pecos_R	Pecos~River~(USGS~8378500)	1919-10-01	2013-10-23	2013-10-25
SEV	Rio_G	Rio~Grande~(USGS~08313000)	1895-02-01	2013-10-23	2013-10-25
SGS	11	Meteorological~Station~11~~~~~~~~~~~~~~~~~~~~~~~~~	1969-01-01	2011-07-01	2013-07-15
SGS	12	Meteorological~Station~12	1986-01-01	2013-07-01	2013-07-15
SIL	C1	C_1	1965-10-01	1991-09-30	2002-05-10
SNT	MS05	Meteorologic~Station~#5	1989-11-15	2001-12-31	2003-09-30
SNT	MS25	Meteorologic~Station~#25	1990-01-01	2001-12-31	2003-09-30
SNT	WS77	Flume~at~Treatment~Watershed	1989-11-15	2001-12-31	2004-04-22
SNT	WS80	Flume~at~Control~Watershed	1990-01-01	2001-12-31	2004-04-22
TAE	72K22	Yuin-lin~Branch~Station	2000-01-01	2013-07-02	2013-07-11
TAE	G2L02	Chia-yi~Litchi~Orchard	2000-01-01	2013-06-30	2013-07-11
TAE	G2M35	Chi-ko~Branch~Farm	2000-01-01	2013-06-30	2013-07-11
TEN	ONION	Onion~Park~Met~Station	1993-10-01	2004-01-13	2005-05-02
TEN	STRINGER	Stringer~Creek~Met~Station	1995-10-01	2003-12-31	2005-05-02
TEN	BUBBLING	Bubbling~Creek~Flume	1993-10-01	2003-09-30	2005-05-03
TEN	LONESOME	Lonesome~Creek~Flume	1994-09-08	2003-09-30	2005-05-03
TEN	LSTRINGER	Lower~Stringer~Creek~Flume	1994-09-07	2003-09-30	2005-05-03
TEN	LSUN	Lower~Sun~Creek~Flume	1992-10-01	2003-09-30	2005-05-03
TEN	LTFOOT	Lower~Tenderfoot~Creek~Flume	1992-10-01	2003-09-30	2005-05-03
TEN	PACK	Pack~Creek~Flume	1996-08-15	2003-09-30	2005-05-03
TEN	PASSIONATE	Passionate~Creek~Flume	1996-08-21	2003-09-30	2005-05-03
TEN	SPRPARK	Spring~Park~Creek~Flume	1993-10-01	2003-09-30	2005-05-03
TEN	USTRINGER	Upper~Stringer~Creek~Flume	1996-08-16	2003-09-30	2005-05-03
TEN	USUN	Upper~Sun~Creek~Flume	1999-06-10	2003-09-30	2005-05-03
TEN	UTFOOT	Upper~Tenderfoot~Creek~Flume	1992-10-01	2003-09-30	2005-05-03
VCR	HOG2	Hog~Island~Dune	2011-06-01	2013-06-11	2013-11-05
VCR	HOGI	Hog~Island	1989-04-03	2013-09-02	2013-11-05
VCR	OYSM	Oyster~Virginia	1991-12-13	2013-09-02	2013-11-05
VCR	PHCK	Phillips~Creek	1991-06-10	2013-08-27	2013-11-05
VCR	PHCK2	Phillips~Creek~Logger~2	2012-01-26	2013-08-27	2013-11-05
YEF	JUNAP	Juneau~Airport~~#504100	1958-08-01	1963-10-02	2004-06-18
YEF	EAST	East~Gauging~Station	1958-08-01	1963-10-01	2004-06-18
